id,title,average_rating,isbn,isbn13,fk_language_code,num_pages,ratings_count,publication_date,fk_publisher
50,Hatchet (Brian's Saga  #1),3.72,0689840926,9780689840920,23,208,270244,4/1/2000,1987
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,1557344493,9781557344496,23,48,36,8/28/1994,142
53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,0385326505,9780385326506,23,144,2067,1/23/2001,1217
54,Molly Hatchet - 5 of the Best,4.33,1575606240,9781575606248,23,56,6,6/10/2003,613
55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,1595580271,9781595580276,5,228,99,11/1/2005,299
57,A Changeling for All Seasons (Changeling Seasons #1),3.76,1595962808,9781595962805,23,304,167,11/1/2005,1492
58,Changeling (Changeling  #1),3.6,0670059676,9780670059676,23,256,978,8/17/2006,1473
59,The Changeling Sea,4.06,0141312629,9780141312620,23,137,4454,4/14/2003,263
61,The Changeling,4.17,0595321801,9780595321803,23,228,1176,6/8/2004,1270
63,The Changeling,3.55,1590301943,9781590301944,23,339,301,4/12/2005,164
66,The Changeling (Daughters of England  #15),3.98,0449146979,9780449146972,23,369,345,8/28/1990,1407
67,The Known World,3.83,0061159174,9780061159176,23,388,29686,8/29/2006,587
68,The Known World,3.83,006076273X,9780060762735,5,14,55,6/15/2004,1345
69,The Known World,3.83,0060749911,9780060749910,23,576,22,6/15/2004,1791
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,0273704745,9780273704744,23,334,1456,5/15/2006,235
72,Artesia: Adventures in the Known World,4.13,1932386106,9781932386103,23,352,52,12/14/2005,859
74,The John McPhee Reader (John McPhee Reader  #1),4.42,0374517193,9780374517199,23,416,562,6/1/1982,1547
75,Uncommon Carriers,3.95,0374280398,9780374280390,5,248,1630,5/16/2006,1909
76,Heirs of General Practice,4.17,0374519749,9780374519742,23,128,268,4/1/1986,1547
77,The Control of Nature,4.24,0374522596,9780374522599,5,288,3498,9/1/1990,1547
78,Annals of the Former World,4.34,0374518734,9780374518738,23,720,3115,1/6/1999,1547
79,Coming Into the Country,4.22,0374522871,9780374522872,23,448,5704,4/1/1991,1547
80,La Place de la Concorde Suisse,3.92,0374519323,9780374519322,6,160,698,4/1/1994,1547
81,Giving Good Weight,4.23,0374516006,9780374516000,23,288,542,4/1/1994,1547
83,Rising from the Plains,4.23,0374520658,9780374520656,23,208,1341,11/1/1987,1547
85,The Heidi Chronicles,3.75,0822205106,9780822205104,23,81,1423,3/1/2002,1799
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,0679734996,9780679734994,23,249,2766,7/2/1991,374
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,1596670231,9781596670235,23,138,31,3/29/2006,1999
90,Simply Beautiful Beaded Jewelry,3.77,1581807740,9781581807745,5,128,62,3/14/2006,1017
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,0800793617,9780800793616,23,192,860,9/1/2003,2077
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,0871202867,9780871202864,5,108,77,1/28/1997,1694
93,Heidi (Heidi  #1-2),3.99,0753454947,9780753454947,23,352,153317,11/15/2002,1860
94,Getting Results with Curriculum Mapping,3.25,0871209993,9780871209993,23,192,55,11/15/2004,1652
96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,1852402873,9781852402877,23,192,34,4/28/2003,1333
98,What to Expect the First Year (What to Expect),3.89,0761129588,9780761129585,23,832,11797,10/16/2003,1363
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,0972016414,9780972016414,23,123,34,5/10/2004,1287
100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,1581805632,9781581805635,5,128,78,8/19/2004,1017
103,God Emperor of Dune (Dune Chronicles  #4),3.84,0441294677,9780441294671,23,423,2785,6/15/1987,472
105,Chapterhouse: Dune (Dune Chronicles #6),3.91,0441102670,9780441102679,23,436,38778,7/1/1987,472
106,Dune Messiah (Dune Chronicles #2),3.88,0441172695,9780441172696,23,331,97494,7/15/1987,472
107,Dreamer of Dune: The Biography of Frank Herbert,4.01,0765306476,9780765306470,5,592,784,7/1/2004,1330
109,Heretics of Dune (Dune Chronicles  #5),3.86,0399128980,9780399128981,23,480,272,4/16/1984,1792
110,The Road to Dune,3.88,0765353709,9780765353702,23,426,4789,8/29/2006,984
117,Heretics of Dune (Dune Chronicles #5),3.86,0441328008,9780441328000,23,471,45388,8/15/1987,472
119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,0618212906,9780618212903,23,192,26153,6/12/2002,2030
122,The Power of One (The Power of One  #1),4.35,034541005X,9780345410054,23,544,69167,9/29/1996,1563
123,The Power of One (The Power of One  #1),4.35,0385732546,9780385732543,23,291,45,9/13/2005,1081
129,The Power of One: One Person  One Rule  One Month,4.28,0785260056,9780785260059,5,256,16,11/1/2004,425
130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,0471780936,9780471780939,23,205,174,5/19/2006,713
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,0325001537,9780325001531,23,240,10,2/7/2000,2145
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,006076287X,9780060762872,23,336,76,5/3/2005,2110
133,eBay for Dummies,3.5,0470045299,9780470045299,23,386,111,10/30/2006,713
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,0072262788,9780072262780,23,260,24,1/24/2006,1831
137,Starting an eBay Business for Dummies,3.55,0764569244,9780764569241,23,384,55,9/17/2004,713
138,eBay: Top 100 Simplified Tips & Tricks,4.27,0471933821,9780471933823,23,260,9,6/6/2006,713
139,ebay Timesaving Techniques for Dummies,3.39,0764559915,9780764559914,5,391,22,5/31/2004,713
140,eBay Business All-in-One Desk Reference for Dummies,3.89,0764584383,9780764584381,5,864,17,4/25/2005,713
141,Ruby Cookbook,3.84,0596523696,9780596523695,23,873,166,7/29/2006,32
142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,0806523492,9780806523491,23,240,50,5/3/2005,2143
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,0806525363,9780806525365,23,206,13,5/3/2005,2143
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,0596527314,9780596527310,23,514,64,1/1/2007,32
151,Anna Karenina,4.05,0143035002,9780143035008,23,838,16643,5/31/2004,1280
152,Anna Karenina,4.05,0451528611,9780451528612,23,960,109420,11/5/2002,1073
153,Anna Karenina,4.05,0140449175,9780140449174,23,837,2904,1/30/2003,101
154,CliffsNotes on Tolstoy's Anna Karenina,3.85,0822001837,9780822001836,23,80,16,11/26/1965,1107
155,Anna Karenina,4.05,1593080271,9781593080273,23,803,9564,7/1/2003,494
156,Anna Karenina,4.05,0486437965,9780486437965,23,752,474,11/23/2004,1399
157,Anna Karenina,4.05,1593081774,9781593081775,23,803,303,8/26/2004,395
159,Dinner with Anna Karenina,2.99,0778322270,9780778322276,23,360,411,1/28/2006,175
160,Tolstoy: Anna Karenina,4.19,0521313252,9780521313254,23,128,1204,11/26/1987,24
162,Untouchable,3.71,0140183957,9780140183955,23,160,3429,7/3/1990,101
163,The Untouchable,3.95,0679767479,9780679767473,23,367,2163,6/30/1998,374
164,The Untouchables,3.89,1568491980,9781568491981,23,256,613,2/1/1996,1242
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,0743270797,9780743270793,5,320,308,9/27/2005,201
166,Dalit: The Black Untaouchables of India,4.2,0932863051,9780932863058,23,100,10,1/28/1995,659
168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,0742508803,9780742508804,23,224,16,12/20/2000,1125
171,The Evidence-Based Social Work Skills Book,3.4,0205358624,9780205358625,23,216,10,9/22/2003,1784
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4.0,1557344035,9781557344038,23,48,17,9/28/1991,142
180,Wrinkles in Time,4.01,0380720442,9780380720446,23,360,1035,10/1/1994,1149
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4.0,0821925326,9780821925324,23,250,36,5/1/2002,416
182,Literature Circle Guide: A Wrinkle in Time,3.6,043927169X,9780439271691,23,32,15,1/1/2002,1913
201,Una arruga en el tiempo – A Wrinkle in Time,4.0,0606105263,9780606105262,22,205,6,6/1/1984,570
204,The Long Shadow (The Morland Dynasty  #6),4.12,0751506435,9780751506433,23,367,376,6/1/1994,2146
205,A Long Shadow (Inspector Ian Rutledge  #8),4.11,006078671X,9780060786717,23,352,3086,1/3/2006,471
207,Long Way Round: Chasing Shadows Across the World,3.94,0743499344,9780743499347,5,320,352,11/1/2005,1894
208,A Shadow in Summer (Long Price Quartet  #1),3.6,0765313405,9780765313409,23,331,9852,3/7/2006,1330
213,New Hope for the Dead (Hoke Mosely #2),3.9,1400032490,9781400032495,23,244,821,8/10/2004,1787
214,Sideswipe: A Hoke Moseley Novel,4.05,1400032482,9781400032488,23,215,731,3/8/2005,1787
216,Miami Blues (Hoke Moseley #1),3.94,1400032466,9781400032464,23,191,2897,8/10/2004,1787
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,0679732527,9780679732525,23,144,98,10/3/1990,374
231,I am Charlotte Simmons,3.42,0312424442,9780312424442,23,738,20888,8/30/2005,675
237,Poetry for Young People: Edward Lear,3.91,0806930772,9780806930770,23,48,66,10/1/2001,330
244,The Puffin Book of Nonsense Verse,4.02,0140366601,9780140366600,23,287,81,10/3/1996,165
245,Henry Miller on Writing,4.22,0811201120,9780811201124,23,217,981,2/1/1964,2112
247,Quiet Days in Clichy,3.69,080213016X,9780802130167,23,154,3381,1/13/1994,225
249,Tropic of Cancer,3.68,0802131786,9780802131782,23,318,53206,1/6/1994,225
250,Tropic of Capricorn,3.78,0802151825,9780802151827,23,348,14872,1/13/1994,225
251,Nexus (The Rosy Crucifixion  #3),4.1,0802151787,9780802151780,23,316,3261,1/13/1994,225
252,Sexus (The Rosy Crucifixion  #1),3.98,0802151809,9780802151803,23,506,7805,1/12/1994,225
253,The Air-Conditioned Nightmare,3.83,0811201066,9780811201063,23,292,2699,1/17/1970,439
264,The Portrait of a Lady,3.78,0141439637,9780141439631,23,797,61640,9/30/2003,1280
269,The Portrait of a Lady,3.78,1593080964,9781593080969,23,635,392,1/16/2004,1361
277,Writing,3.75,1571290532,9781571290533,23,91,778,5/6/1999,692
278,The War,3.85,1565842219,9781565842212,23,192,963,8/1/1994,299
280,The Ravishing of Lol Stein,3.66,0394743040,9780394743042,5,181,2057,3/12/1986,1503
285,Love Letters,3.68,1851681825,9781851681822,23,178,203,7/1/1999,112
288,Kahlil Gibran: His Life and World,4.21,156656249X,9781566562492,23,464,35,4/1/1998,988
289,The Beloved: Reflections on the Path of the Heart,4.19,014019553X,9780140195538,23,102,328,1/1/1998,101
290,Jesus the Son of Man,3.98,0394431243,9780394431246,23,216,1308,2/21/1995,1137
291,The Broken Wings,3.92,0806501901,9780806501901,23,132,6432,3/3/2003,2143
292,Sand and Foam,4.08,067943920X,9780679439202,23,100,3015,6/14/2011,1137
295,Treasure Island,3.83,0753453800,9780753453803,23,311,318753,9/15/2001,1860
296,Treasure Island,3.83,1402714572,9781402714573,5,213,420,10/1/2004,1575
297,Treasure Island,3.83,1416500294,9781416500292,23,245,5967,6/1/2005,688
298,Treasure Island,3.83,0689854684,9780689854682,23,64,104,7/1/2003,96
299,Treasure Island,3.83,0517221144,9780517221143,5,272,56,9/3/2002,1165
302,Treasure Island (Great Illustrated Classics),4.05,1577658051,9781577658054,23,232,91,1/31/2006,1406
313,100 Years of Lynchings,4.61,0933121180,9780933121188,23,270,88,11/22/1996,1425
324,Cien años de soledad,4.07,0785950109,9780785950103,22,448,63,1/1/1990,1116
330,On Beyond Zebra!,4.04,0394800842,9780394800844,23,64,2815,9/12/1955,869
332,The Wedding Clause,3.6,0821778250,9780821778258,23,256,95,6/7/2005,465
333,The Zebra Wall,3.44,0060733039,9780060733032,23,147,217,2/15/2005,1724
337,El perfume: Historia de un asesino,4.02,8432216062,9788432216060,22,239,4136,6/1/2002,579
348,The Door Into Summer,4.01,0345413997,9780345413994,23,304,17232,6/17/1997,461
350,Stranger in a Strange Land,3.92,0441788386,9780441788385,23,528,251872,10/1/1991,1776
354,To Sail Beyond the Sunset,3.87,0441748600,9780441748600,5,434,10293,6/1/1988,472
355,Job: A Comedy of Justice,3.78,0345316509,9780345316509,5,439,15970,10/12/1985,461
356,Time for the Stars (Heinlein's Juveniles  #10),3.97,0765314932,9780765314932,23,256,6898,8/8/2006,1330
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,0671742515,9780671742515,5,307,67803,2/15/1991,1849
359,The Salmon of Doubt (Dirk Gently  #3),3.93,0345455290,9780345455291,23,298,22091,4/26/2005,461
362,Wish You Were Here: The Official Biography of Douglas Adams,4.14,0345476514,9780345476517,23,368,2623,12/27/2005,461
367,Douglas Adams's Starship Titanic,3.6,0345368436,9780345368430,23,256,885,10/27/1998,1563
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,1417622857,9781417622856,23,336,5,7/1/2003,570
382,The Phantom Tollbooth: A Children's Play in Two Acts,4.13,0573650969,9780573650963,23,72,100,1/12/2011,361
385,On Bullshit,3.57,0691122946,9780691122946,23,67,9358,1/30/2005,1510
386,Another Bullshit Night in Suck City,3.78,0393329402,9780393329407,23,347,9318,9/12/2005,1151
394,Lincoln at Gettysburg: The Words That Remade America,4.14,0671867423,9780671867423,5,317,120,6/12/1993,688
397,The Gettysburg Address,4.53,0395883970,9780395883976,23,32,5239,2/2/1998,9
399,Underworld,3.92,0684848155,9780684848150,23,827,1505,7/9/1998,201
400,Libra,3.99,0140156046,9780140156041,23,480,11857,5/1/1991,521
403,Americana,3.43,0140119485,9780140119480,23,377,393,7/6/1989,101
404,Running Dog,3.43,0679722947,9780679722946,23,256,1356,7/17/1989,338
406,Cosmopolis,3.22,0743244257,9780743244251,23,224,460,4/6/2004,201
407,Great Jones Street,3.48,0140179178,9780140179170,23,272,2492,1/1/1994,101
408,The Names,3.64,0679722955,9780679722953,23,339,3100,7/17/1989,374
409,Against the Day,4.13,159420120X,9781594201202,23,1085,5296,11/21/2006,2055
410,V.,3.96,0060930217,9780060930219,23,547,1415,7/5/2005,454
411,The Crying of Lot 49,3.69,0060931671,9780060931674,23,152,2161,4/1/1999,1149
412,Gravity's Rainbow,4.01,0140283382,9780140283389,23,784,762,1/1/2000,101
413,Mason & Dixon,4.07,0312423209,9780312423209,23,773,8086,1/3/2004,675
414,Vineland,3.69,0141180633,9780141180632,5,385,702,9/1/1997,1280
415,Gravity's Rainbow,4.01,0143039946,9780143039945,23,776,29764,10/31/2006,101
416,Slow Learner: Early Stories,3.5,0316724432,9780316724432,23,193,334,4/30/1985,224
418,Been Down So Long It Looks Like Up To Me,3.8,0140189300,9780140189308,23,352,2473,8/29/1996,1280
420,The Year of Magical Thinking,3.89,140004314X,9781400043149,5,227,2656,10/4/2005,902
421,The White Album,4.17,0374522219,9780374522216,23,222,11889,10/1/1990,1909
422,A Book of Common Prayer,3.8,0679754865,9780679754862,23,272,2962,4/11/1995,239
423,Where I Was From,3.86,0679752862,9780679752868,23,240,2842,9/14/2004,374
424,Slouching Towards Bethlehem,4.21,0374521727,9780374521721,23,238,26934,10/1/1990,1909
425,Democracy,3.81,0679754857,9780679754855,5,234,2070,4/25/1995,239
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,4.5,0307264874,9780307264879,23,1122,1564,10/17/2006,208
428,Play It As It Lays,3.87,0374529949,9780374529949,23,231,23656,11/15/2005,1547
431,The New York Trilogy,3.89,0143039830,9780143039839,23,308,43200,3/28/2006,1280
432,City of Glass (The New York Trilogy  #1),3.79,0140097317,9780140097313,23,203,12410,4/7/1987,101
434,Ghosts (The New York Trilogy  #2),3.64,014009735X,9780140097351,23,96,3672,7/7/1987,101
435,The Locked Room (The New York Trilogy  #3),3.89,0940650762,9780940650763,23,179,2998,11/1/1986,1572
444,Pyramids of Montauk: Explorations in Consciousness,3.89,0963188925,9780963188922,23,256,74,1/1/1995,367
446,The Brooklyn Follies,3.84,0312426232,9780312426231,23,306,17977,10/17/2006,186
447,Moon Palace,3.94,0140115854,9780140115857,23,320,16099,4/1/1990,101
453,The Music of Chance,3.9,0140154078,9780140154078,5,217,361,12/1/1991,101
454,Travels in the Scriptorium,3.23,0805081453,9780805081459,23,145,6688,1/23/2007,1386
456,Leviathan,3.96,0140178139,9780140178135,23,275,11744,9/1/1993,101
463,The Red Notebook: True Stories,3.77,0811214982,9780811214988,23,104,2390,6/17/2002,439
466,Timbuktu / Leviathan / Moon Palace,4.38,2742741461,9782742741465,6,1075,21,11/7/2002,643
475,Collapse: How Societies Choose to Fail or Succeed,3.93,0143036556,9780143036555,23,608,52522,12/27/2005,408
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,0446579785,9780446579780,5,211,213,2/1/2006,1854
477,Collapse of Complex Societies,4.15,052138673X,9780521386739,23,262,719,3/29/1990,24
478,Bowling Alone: The Collapse and Revival of American Community,3.8,0743203046,9780743203043,23,544,4762,8/7/2001,2012
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,3.91,034543871X,9780345438713,23,272,62,1/29/2002,1563
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,4.39,0393318281,9780393318289,23,576,278,9/17/1998,396
493,My Inventions,4.01,1599869942,9781599869940,23,88,2862,5/17/2006,1951
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,3.78,0806519606,9780806519609,23,542,2829,2/1/2001,2143
497,Nikola Tesla: A Spark of Genius,3.93,0822549204,9780822549208,23,144,105,10/1/1994,75
498,Tesla Papers,4.13,0932813860,9780932813862,23,100,102,12/1/2000,403
511,Boys of Summer,3.77,0373792689,9780373792689,23,249,478,6/27/2006,1054
515,Programming Ruby: The Pragmatic Programmers' Guide,4.03,0974514055,9780974514055,5,828,1577,10/11/2004,2118
523,Golding's Lord of the Flies (Cliffs Notes),3.95,0764585975,9780764585975,23,112,73,6/13/2000,1107
524,Lord of the Flies,3.68,0307281701,9780307281708,23,6,408,10/11/2005,319
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,4.11,0812969707,9780812969702,23,397,1693,9/12/2006,1131
534,We Were Not Like Other People,4.14,0060255080,9780060255084,23,216,1,1/1/1989,724
537,The Lovely Bones,3.81,0330485385,9780330485388,11,328,6485,6/1/2003,186
538,The Lovely Bones,3.81,159413023X,9781594130236,5,532,367,4/1/2004,401
539,Lovely in Her Bones (Elizabeth MacPherson  #2),3.8,0345360354,9780345360359,23,224,1371,5/13/1990,1563
565,The Zen of CSS Design: Visual Enlightenment for the Web,3.98,0321303474,785342303476,5,296,793,2/17/2005,2139
570,HTML  XHTML  and CSS (Visual Quickstart Guide),3.8,0321430840,9780321430847,5,456,549,8/1/2006,2139
576,1000 Record Covers,3.85,3822840858,9783822840856,18,575,288,5/15/2005,567
597,Killing Yourself to Live: 85% of a True Story,3.81,0743264460,9780743264464,23,245,26381,6/13/2006,201
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,3.73,0743236017,9780743236010,23,272,62089,7/2/2004,201
619,Vice (V  #8),3.51,0553572490,9780553572490,23,419,474,5/2/1996,303
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),3.77,0060589469,9780060589462,23,540,166046,4/25/2006,1754
639,Once Upon a Cool Motorcycle Dude,4.08,0802789471,9780802789471,23,32,1773,4/1/2005,2047
642,Guidebook to Zen and the Art of Motorcycle Maintenance,3.72,0688060692,9780688060695,11,408,286,11/19/1990,2110
643,Motorcycle Basics Techbook,3.85,185960515X,9781859605158,23,222,40,7/5/2002,483
650,LOGO Lounge: 2 000 International Identities by Leading Designers,3.93,1592530877,9781592530878,23,191,27,9/1/2004,609
655,The Death of Ivan Ilych And Other Stories,4.11,0451528808,9780451528803,23,304,7300,4/1/2003,2090
656,War and Peace,4.11,0192833987,9780192833983,23,1392,211671,6/25/1998,568
658,The Kingdom of God Is Within You,4.13,0486451380,9780486451381,23,352,2403,9/8/2006,1399
662,Atlas Shrugged,3.69,0452011876,9780452011878,23,1168,322483,8/1/1999,2132
663,For the New Intellectual: The Philosophy of Ayn Rand,3.68,0451163087,9780451163080,23,224,2750,12/1/1963,1293
664,The Fountainhead,3.87,0452286751,9780452286757,5,752,1886,4/26/2005,191
665,The Virtue of Selfishness: A New Concept of Egoism,3.51,0451163931,9780451163936,23,176,11462,11/1/1964,1073
667,Anthem,3.63,0452281253,9780452281257,23,105,110952,12/1/1999,1602
668,We the Living,3.91,0451187849,9780451187840,23,464,23199,1/1/1996,1073
669,Capitalism: The Unknown Ideal,3.88,0451147952,9780451147950,23,340,3501,7/15/1986,1073
670,Letters of Ayn Rand,3.96,0452274044,9780452274044,23,681,18,2/1/1997,1602
672,Sailing for Dummies,3.95,0471791431,9780471791430,23,416,150,6/1/2006,2170
675,Sailing from Byzantium: How a Lost Empire Shaped the World,3.88,0553803816,9780553803815,23,368,646,7/25/2006,1217
676,Sailing Alone Around the Room: New and Selected Poems,4.23,0375755195,9780375755194,23,192,12180,9/17/2002,1827
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,3.62,1592283195,9781592283194,23,286,51,4/1/2004,450
681,"Natural Cures ""They"" Don't Want You to Know about",3.09,0975599518,9780975599518,5,571,1601,1/1/2004,55
685,The Natural,3.63,0374502005,9780374502003,23,231,8854,7/7/2003,1909
698,Digging to America,3.55,0307263940,9780307263940,23,277,17155,5/2/2006,1873
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,3.77,0312405545,9780312405540,23,826,44,1/21/2004,1832
702,Modern Latin America,3.59,019517013X,9780195170139,5,528,234,10/7/2004,1978
703,The Plot Against America,3.77,1400079497,9781400079490,23,391,33321,9/27/2005,239
707,Naked Pictures of Famous People,3.59,0688171621,9780688171629,11,164,8703,9/22/1999,1059
759,Collected Stories,4.19,0060932686,9780060932688,23,352,6375,5/13/2008,454
762,Crónica de una muerte anunciada,3.97,1400034957,9781400034956,22,118,7888,10/14/2003,656
763,Cien años de soledad,4.07,0307350428,9780307350428,22,496,130,2/7/2006,246
764,Del amor y otros demonios,3.98,0307350444,9780307350442,22,176,4508,2/7/2006,246
765,Living to Tell the Tale,3.99,140003454X,9781400034543,23,533,397,10/12/2004,374
766,Memoria de mis putas tristes,3.6,1400095808,9781400095803,22,112,5856,10/19/2004,656
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,4.07,0375708111,9780375708114,23,425,32569,9/2/2004,1225
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,4.29,086171492X,9780861714926,23,288,37,5/15/2005,1024
787,The Mini Rough Guide to London,3.75,184353584X,9781843535843,23,363,1,4/1/2006,274
793,Best of London (Lonely Planet Best Of),3.83,1740594770,9781740594776,23,128,11,9/1/2004,1750
797,Lonely Planet Londres,4.03,8408064762,9788408064763,22,480,0,5/1/2006,1853
799,Out to Eat London 2002 (Lonely Planet Out to Eat),0.0,1740592050,9781740592055,23,295,0,9/1/2001,1750
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,3.88,0618710531,9780618710539,23,287,6870,4/4/2006,1620
816,Cryptonomicon,4.25,0060512806,9780060512804,23,1139,83184,11/1/2002,1551
821,Le Réseau Kinakuta (Cryptonomicon  #2),4.1,2228894168,9782228894166,6,418,5,3/31/2001,1526
822,The Confusion (The Baroque Cycle  #2),4.26,0060733357,9780060733353,5,815,19320,6/14/2005,2110
823,Quicksilver (The Baroque Cycle  #1),3.93,0060593083,9780060593087,23,927,30872,9/21/2004,1512
824,The Cobweb,3.61,0553383442,9780553383447,23,448,2465,5/31/2005,1077
826,The Big U,3.25,0380816032,9780380816033,5,308,4657,2/6/2001,2110
827,The Diamond Age: Or  A Young Lady's Illustrated Primer,4.19,0553380966,9780553380965,23,499,71042,5/2/2000,1631
